,generator_indices
0,0
0,6
0,8
1,5
1,6
1,8
2,0
2,1
2,7
3,0
3,6
3,7
4,5
4,6
4,7
5,0
5,2
5,4
6,0
6,1
6,2
7,1
7,2
7,4
8,3
8,4
8,5
9,1
9,3
9,4
10,3
10,5
10,7
11,1
11,3
11,7
12,0
12,4
12,9
13,0
13,8
13,9
14,4
14,5
14,9
15,5
15,8
15,9
